# Поправки ударений: модель Silero Stress ставит иначе, AOT и Викисловарь согласны. tools/stress_fixes.py build
# слово = ударение  # частота в субтитрах, как ставит модель, разбор AOT
одолжены = одолжен+ы  # 4, модель од+олжены, одолжить:PARTICIPLE_SHORT:perf,trans,anim,inanim,past,pass,pl
парна = п+арна  # 4, модель парн+а, парный:ADJ_SHORT:fem,sg,anim,inanim
поводим = пов+одим  # 4, модель повод+им, поводить:V:imperf,intrans,act,pres,1p,pl
пышу = п+ышу  # 4, модель пыш+у, пыхать:V:imperf,intrans,act,pres,1p,sg
рассыпаешься = рассып+аешься  # 4, модель расс+ыпаешься, рассыпаться:V:imperf,intrans,act,pres,2p,sg
скатим = ск+атим  # 4, модель скат+им, скатить:V:perf,trans,act,fut,1p,pl
согреваю = согрев+аю  # 4, модель согр+еваю, согревать:V:imperf,trans,act,pres,1p,sg
спилит = сп+илит  # 4, модель спил+ит, спилить:V:perf,trans,act,fut,3p,sg
сырьевым = сырьев+ым  # 4, модель сырьевым, сырьевой:A:mas,sg,ins,anim,inanim
толстяках = толстяк+ах  # 4, модель толст+яках, толстяк:N:anim,mas,pl,prp
удами = +удами  # 4, модель уд+ами, уд:N:inanim,mas,pl,ins
усаживайте = ус+аживайте  # 4, модель усажив+айте, усаживать:V:imperf,trans,act,imp,2p,pl
хваленный = хв+аленный  # 4, модель хвал+енный, хвалить:PARTICIPLE:imperf,trans,anim,inanim,past,pass,sg,mas,nom
белену = белен+у  # 3, модель белену, белена:N:sing_tant,inanim,fem,sg,acc
вилочка = в+илочка  # 3, модель вил+очка, вилочка:N:inanim,fem,sg,nom
высокоразвита = высокор+азвита  # 3, модель высокоразв+ита, высокоразвитый:ADJ_SHORT:fem,sg,anim,inanim
высокоразвиты = высокор+азвиты  # 3, модель высокоразвиты, высокоразвитый:ADJ_SHORT:pl,anim,inanim
грязевое = грязев+ое  # 3, модель гр+язевое, грязевой:A:neu,sg,acc,anim,inanim
грязевом = грязев+ом  # 3, модель гр+язевом, грязевой:A:mas,sg,prp,anim,inanim
загорожу = загорож+у  # 3, модель загор+ожу, загородить:V:perf,trans,act,fut,1p,sg
замыкаясь = замык+аясь  # 3, модель зам+ыкаясь, замыкаться:ADV_PARTICIPLE:imperf,intrans,act,pres
затыкайся = затык+айся  # 3, модель зат+ыкайся, затыкаться:V:imperf,intrans,act,imp,2p,sg
знаменую = знамен+ую  # 3, модель зн+аменую, знаменовать:V:imperf,trans,act,pres,1p,sg
кисею = кисе+ю  # 3, модель кис+ею, кисея:N:inanim,fem,sg,acc
клятым = кл+ятым  # 3, модель клят+ым, клясть:PARTICIPLE:imperf,trans,anim,inanim,past,pass,pl,dat
ломках = л+омках  # 3, модель ломк+ах, ломка:N:inanim,fem,pl,prp
меджлис = меджл+ис  # 3, модель м+еджлис, меджлис:N:inanim,mas,sg,acc
написавшему = напис+авшему  # 3, модель нап+исавшему, написать:PARTICIPLE:perf,trans,anim,inanim,past,act,sg,mas,dat
написавшую = напис+авшую  # 3, модель нап+исавшую, написать:PARTICIPLE:perf,trans,anim,inanim,past,act,sg,fem,acc
настороженности = настор+оженности  # 3, модель насторож+енности, настороженность:N:sing_tant,inanim,fem,pl,acc
петроглиф = петр+оглиф  # 3, модель петрогл+иф, петроглиф:N:inanim,mas,sg,acc
печеней = п+еченей  # 3, модель печ+еней, печень:N:inanim,fem,pl,gen
покатая = пок+атая  # 3, модель покат+ая, покатый:A:qual,fem,sg,nom,anim,inanim
пьяненькой = пь+яненькой  # 3, модель пьян+енькой, пьяненький:A:fem,sg,dat,anim,inanim
согреваем = согрев+аем  # 3, модель согр+еваем, согревать:PARTICIPLE_SHORT:imperf,trans,anim,inanim,pres,pass,sg,mas
ступицы = ступ+ицы  # 3, модель ст+упицы, ступица:N:inanim,fem,pl,acc
татуированное = тату+ированное  # 3, модель татуир+ованное, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,sg,neu,acc
удам = +удам  # 3, модель уд+ам, уд:N:inanim,mas,pl,dat
фюзеляжей = фюзел+яжей  # 3, модель фюзеляж+ей, фюзеляж:N:inanim,mas,pl,gen
чудачку = чуд+ачку  # 3, модель чудачк+у, чудачка:N:anim,fem,sg,acc
шепнут = шепн+ут  # 3, модель ш+епнут, шепнуть:V:perf,trans,act,fut,3p,pl
шмыгнул = шмыгн+ул  # 3, модель шм+ыгнул, шмыгнуть:V:perf,intrans,act,past,mas,sg
шумовка = шум+овка  # 3, модель ш+умовка, шумовка:N:inanim,fem,sg,nom
ангеликой = анг+еликой  # 2, модель ангел+икой, ангелика:N:sing_tant,inanim,fem,sg,ins
антиохия = анти+охия  # 2, модель антиох+ия, антиохия:N:inanim,fem,sg,nom
апраксии = апр+аксии  # 2, модель апракс+ии, апраксия:N:inanim,fem,pl,acc
вечерку = вечерк+у  # 2, модель веч+ерку, вечерок:N:inanim,mas,sg,dat
выползаем = выполз+аем  # 2, модель в+ыползаем, выползать:V:imperf,intrans,act,pres,1p,pl
грудкам = гр+удкам  # 2, модель грудк+ам, грудка:N:inanim,fem,pl,dat
довозят = дов+озят  # 2, модель довоз+ят, довозить:V:perf,imperf,trans,act,fut,3p,pl
дохнули = дохн+ули  # 2, модель д+охнули, дохнуть:V:perf,intrans,act,past,pl
желудкам = жел+удкам  # 2, модель желудк+ам, желудок:N:inanim,mas,pl,dat
закладу = закл+аду  # 2, модель заклад+у, заклад:N:inanim,mas,sg,dat
замеряй = замер+яй  # 2, модель зам+еряй, замерять:V:imperf,trans,act,imp,2p,sg
заперший = з+аперший  # 2, модель зап+ерший, запереть:PARTICIPLE:perf,trans,anim,inanim,past,act,sg,mas,nom
запусках = з+апусках  # 2, модель запуск+ах, запуск:N:inanim,mas,pl,prp
знамениях = зн+амениях  # 2, модель знам+ениях, знамение:N:inanim,neu,pl,prp
колоколам = колокол+ам  # 2, модель колоколам, колокол:N:inanim,mas,pl,dat
куреня = курен+я  # 2, модель кур+еня, курень:N:inanim,mas,sg,gen
кутишь = к+утишь  # 2, модель кут+ишь, кутить:V:imperf,intrans,act,pres,2p,sg
левкой = левк+ой  # 2, модель л+евкой, левкой:N:inanim,mas,sg,acc
мастеровыми = мастеров+ыми  # 2, модель мастеровыми, мастеровой:A:pl,ins,anim,inanim
мегерам = мег+ерам  # 2, модель м+егерам, мегера:N:anim,fem,pl,dat
мегерами = мег+ерами  # 2, модель м+егерами, мегера:N:anim,fem,pl,ins
механизировал = механиз+ировал  # 2, модель механизиров+ал, механизировать:V:perf,imperf,trans,act,past,mas,sg
нагнутой = н+агнутой  # 2, модель нагн+утой, нагнуть:PARTICIPLE:perf,trans,anim,inanim,past,pass,sg,fem,dat
нанятом = н+анятом  # 2, модель нанят+ом, нанять:PARTICIPLE:perf,trans,anim,inanim,past,pass,sg,mas,prp
нанятому = н+анятому  # 2, модель нанят+ому, нанять:PARTICIPLE:perf,trans,anim,inanim,past,pass,sg,mas,dat
настороженностью = настор+оженностью  # 2, модель насторож+енностью, настороженность:N:sing_tant,inanim,fem,sg,ins
нуге = нуг+е  # 2, модель н+уге, нуга:N:sing_tant,inanim,fem,sg,dat
обвито = обв+ито  # 2, модель +обвито, обвить:PARTICIPLE_SHORT:perf,trans,anim,inanim,past,pass,sg,neu
оберу = обер+у  # 2, модель +оберу, обобрать:V:perf,trans,act,fut,1p,sg
палубном = п+алубном  # 2, модель пал+убном, палубный:A:qual,mas,sg,prp,anim,inanim
пикулям = п+икулям  # 2, модель пик+улям, пикули:N:inanim,pl,pl,dat
пинках = пинк+ах  # 2, модель п+инках, пинок:N:inanim,mas,pl,prp
повестей = повест+ей  # 2, модель п+овестей, повесть:N:inanim,fem,pl,gen
